lead_date,dimension,daily_leads,cumulative_actual,landing_forecast,monthly_target,achievement_pct
2026-03-01,DIS,0,0,,100,
2026-03-02,DIS,2,2,42.00,100,0.42
2026-03-03,DIS,1,3,31.50,100,0.32
2026-03-01,FAX・EDM,0,0,,19,
2026-03-02,FAX・EDM,3,3,63.00,19,3.32
2026-03-03,FAX・EDM,0,3,31.50,19,1.66
2026-03-01,LIS,0,0,,62,
2026-03-02,LIS,4,4,84.00,62,1.35
2026-03-03,LIS,3,7,73.50,62,1.19
2026-03-01,TOP,0,0,,77,
2026-03-02,TOP,3,3,63.00,77,0.82
2026-03-03,TOP,2,5,52.50,77,0.68
2026-03-01,その他,0,0,,7,
2026-03-02,その他,0,0,0.00,7,0.00
2026-03-03,その他,0,0,0.00,7,0.00
2026-03-01,全体,0,0,,265,
2026-03-02,全体,12,12,252.00,265,0.95
2026-03-03,全体,6,18,189.00,265,0.71
