lead_date,dimension,daily_leads,cumulative_actual,landing_forecast,monthly_target,achievement_pct
2026-03-01,DIS,0,0,,117,
2026-03-02,DIS,5,5,105.00,117,0.90
2026-03-03,DIS,3,8,84.00,117,0.72
2026-03-01,FAX・EDM,0,0,,22,
2026-03-02,FAX・EDM,1,1,21.00,22,0.95
2026-03-03,FAX・EDM,3,4,42.00,22,1.91
2026-03-01,LIS,0,0,,72,
2026-03-02,LIS,7,7,147.00,72,2.04
2026-03-03,LIS,0,7,73.50,72,1.02
2026-03-01,TOP,0,0,,81,
2026-03-02,TOP,6,6,126.00,81,1.56
2026-03-03,TOP,0,6,63.00,81,0.78
2026-03-01,その他,0,0,,8,
2026-03-02,その他,2,2,42.00,8,5.25
2026-03-03,その他,0,2,21.00,8,2.63
2026-03-01,全体,0,0,,301,
2026-03-02,全体,23,23,483.00,301,1.60
2026-03-03,全体,6,29,304.50,301,1.01
