lead_date,dimension,daily_leads,cumulative_actual,landing_forecast,monthly_target,achievement_pct
2026-03-01,DIS,0,0,,100,
2026-03-02,DIS,2,2,42.00,100,0.42
2026-03-03,DIS,3,5,52.50,100,0.53
2026-03-04,DIS,1,6,42.00,100,0.42
2026-03-01,FAX・EDM,0,0,,19,
2026-03-02,FAX・EDM,3,3,63.00,19,3.32
2026-03-03,FAX・EDM,1,4,42.00,19,2.21
2026-03-04,FAX・EDM,0,4,28.00,19,1.47
2026-03-01,LIS,0,0,,62,
2026-03-02,LIS,4,4,84.00,62,1.35
2026-03-03,LIS,4,8,84.00,62,1.35
2026-03-04,LIS,0,8,56.00,62,0.90
2026-03-01,TOP,0,0,,77,
2026-03-02,TOP,3,3,63.00,77,0.82
2026-03-03,TOP,5,8,84.00,77,1.09
2026-03-04,TOP,6,14,98.00,77,1.27
2026-03-01,その他,0,0,,7,
2026-03-02,その他,0,0,0.00,7,0.00
2026-03-03,その他,0,0,0.00,7,0.00
2026-03-04,その他,0,0,0.00,7,0.00
2026-03-01,全体,0,0,,265,
2026-03-02,全体,12,12,252.00,265,0.95
2026-03-03,全体,13,25,262.50,265,0.99
2026-03-04,全体,8,33,231.00,265,0.87
