achievement_pct,cumulative_actual,daily_leads,dimension,landing_forecast,lead_date,monthly_target
0.16,1,0,その他,1.29,2026-02-21,8
0.16,1,0,その他,1.29,2026-02-22,8
0.16,1,0,その他,1.29,2026-02-23,8
0.15,1,0,その他,1.20,2026-02-24,8
0.14,1,0,その他,1.13,2026-02-25,8
0.13,1,0,その他,1.06,2026-02-26,8
,0,0,全体,,2026-02-01,221
0.90,11,11,全体,198.00,2026-02-02,221
0.98,24,13,全体,216.00,2026-02-03,221
0.95,35,11,全体,210.00,2026-02-04,221
0.94,46,11,全体,207.00,2026-02-05,221
0.86,53,7,全体,190.80,2026-02-06,221
0.88,54,1,全体,194.40,2026-02-07,221
0.88,54,0,全体,194.40,2026-02-08,221
0.92,68,14,全体,204.00,2026-02-09,221
0.91,78,10,全体,200.57,2026-02-10,221
0.91,78,0,全体,200.57,2026-02-11,221
0.91,89,11,全体,200.25,2026-02-12,221
0.90,99,10,全体,198.00,2026-02-13,221
0.90,99,0,全体,198.00,2026-02-14,221
0.90,99,0,全体,198.00,2026-02-15,221
0.94,115,16,全体,207.00,2026-02-16,221
0.99,134,19,全体,219.27,2026-02-17,221
0.97,143,9,全体,214.50,2026-02-18,221
0.97,155,12,全体,214.62,2026-02-19,221
0.97,166,11,全体,213.43,2026-02-20,221
0.97,166,0,全体,213.43,2026-02-21,221
0.97,167,1,全体,214.71,2026-02-22,221
0.97,167,0,全体,214.71,2026-02-23,221
0.98,181,14,全体,217.20,2026-02-24,221
1.00,196,15,全体,220.50,2026-02-25,221
0.94,197,1,全体,208.59,2026-02-26,221
