lead_date,dimension,daily_leads,cumulative_actual,landing_forecast,monthly_target,achievement_pct
2026-02-01,DIS,1,1,,82,
2026-02-02,DIS,3,4,72,82,0.9
2026-02-03,DIS,6,10,90,82,1.1
2026-02-04,DIS,3,13,78,82,1.0
2026-02-05,DIS,4,17,77,82,0.9
2026-02-06,DIS,0,17,61,82,0.7
2026-02-07,DIS,0,17,61,82,0.7
2026-02-08,DIS,0,17,61,82,0.7
2026-02-09,DIS,2,19,57,82,0.7
2026-02-10,DIS,2,21,54,82,0.7
2026-02-11,DIS,1,22,57,82,0.7
2026-02-12,DIS,8,30,68,82,0.8
2026-02-13,DIS,3,33,66,82,0.8
2026-02-14,DIS,1,34,68,82,0.8
2026-02-15,DIS,1,35,70,82,0.9
2026-02-16,DIS,6,41,74,82,0.9
2026-02-17,DIS,2,43,70,82,0.9
2026-02-18,DIS,4,47,71,82,0.9
2026-02-19,DIS,2,49,68,82,0.8
2026-02-20,DIS,2,51,66,82,0.8
2026-02-21,DIS,0,51,66,82,0.8
2026-02-22,DIS,0,51,66,82,0.8
2026-02-23,DIS,0,51,66,82,0.8
2026-02-24,DIS,5,56,67,82,0.8
2026-02-01,FAX・EDM,0,0,,28,
2026-02-02,FAX・EDM,0,0,0,28,0.0
2026-02-03,FAX・EDM,0,0,0,28,0.0
2026-02-04,FAX・EDM,1,1,6,28,0.2
2026-02-05,FAX・EDM,1,2,9,28,0.3
2026-02-06,FAX・EDM,1,3,11,28,0.4
2026-02-07,FAX・EDM,0,3,11,28,0.4
2026-02-08,FAX・EDM,0,3,11,28,0.4
2026-02-09,FAX・EDM,0,3,9,28,0.3
2026-02-10,FAX・EDM,1,4,10,28,0.4
2026-02-11,FAX・EDM,0,4,10,28,0.4
2026-02-12,FAX・EDM,3,7,16,28,0.6
2026-02-13,FAX・EDM,0,7,14,28,0.5
2026-02-14,FAX・EDM,0,7,14,28,0.5
2026-02-15,FAX・EDM,0,7,14,28,0.5
2026-02-16,FAX・EDM,0,7,13,28,0.5
2026-02-17,FAX・EDM,1,8,13,28,0.5
2026-02-18,FAX・EDM,3,11,17,28,0.6
2026-02-19,FAX・EDM,5,16,22,28,0.8
2026-02-20,FAX・EDM,3,19,24,28,0.9
2026-02-21,FAX・EDM,0,19,24,28,0.9
2026-02-22,FAX・EDM,0,19,24,28,0.9
2026-02-23,FAX・EDM,1,20,26,28,0.9
2026-02-24,FAX・EDM,3,23,28,28,1.0
2026-02-01,LIS,0,0,,51,
2026-02-02,LIS,3,3,54,51,1.1
2026-02-03,LIS,1,4,36,51,0.7
2026-02-04,LIS,1,5,30,51,0.6
2026-02-05,LIS,1,6,27,51,0.5
2026-02-06,LIS,2,8,29,51,0.6
2026-02-07,LIS,2,10,36,51,0.7
2026-02-08,LIS,0,10,36,51,0.7
2026-02-09,LIS,4,14,42,51,0.8
2026-02-10,LIS,3,17,44,51,0.9
2026-02-11,LIS,0,17,44,51,0.9
2026-02-12,LIS,1,18,41,51,0.8
2026-02-13,LIS,4,22,44,51,0.9
2026-02-14,LIS,0,22,44,51,0.9
2026-02-15,LIS,0,22,44,51,0.9
2026-02-16,LIS,5,27,49,51,1.0
2026-02-17,LIS,5,32,52,51,1.0
2026-02-18,LIS,2,34,51,51,1.0
2026-02-19,LIS,4,38,53,51,1.0
2026-02-20,LIS,4,42,54,51,1.1
2026-02-21,LIS,0,42,54,51,1.1
2026-02-22,LIS,0,42,54,51,1.1
2026-02-23,LIS,0,42,54,51,1.1
2026-02-24,LIS,5,47,56,51,1.1
2026-02-01,TOP,0,0,,78,
2026-02-02,TOP,7,7,126,78,1.6
2026-02-03,TOP,10,17,153,78,2.0
2026-02-04,TOP,4,21,126,78,1.6
2026-02-05,TOP,6,27,122,78,1.6
2026-02-06,TOP,0,27,97,78,1.2
2026-02-07,TOP,0,27,97,78,1.2
2026-02-08,TOP,1,28,101,78,1.3
2026-02-09,TOP,9,37,111,78,1.4
2026-02-10,TOP,3,40,103,78,1.3
2026-02-11,TOP,1,41,105,78,1.4
2026-02-12,TOP,10,51,115,78,1.5
2026-02-13,TOP,4,55,110,78,1.4
2026-02-14,TOP,0,55,110,78,1.4
2026-02-15,TOP,2,57,114,78,1.5
2026-02-16,TOP,5,62,112,78,1.4
2026-02-17,TOP,4,66,108,78,1.4
2026-02-18,TOP,7,73,110,78,1.4
2026-02-19,TOP,3,76,105,78,1.3
2026-02-20,TOP,5,81,104,78,1.3
2026-02-21,TOP,0,81,104,78,1.3
2026-02-22,TOP,0,81,104,78,1.3
2026-02-23,TOP,0,81,104,78,1.3
2026-02-24,TOP,6,87,104,78,1.3
2026-02-01,その他,0,0,,9,
2026-02-02,その他,0,0,0,9,0.0
2026-02-03,その他,0,0,0,9,0.0
2026-02-04,その他,0,0,0,9,0.0
2026-02-05,その他,0,0,0,9,0.0
2026-02-06,その他,0,0,0,9,0.0
2026-02-07,その他,0,0,0,9,0.0
2026-02-08,その他,0,0,0,9,0.0
2026-02-09,その他,1,1,3,9,0.3
2026-02-10,その他,0,1,3,9,0.3
2026-02-11,その他,0,1,3,9,0.3
2026-02-12,その他,0,1,2,9,0.3
2026-02-13,その他,0,1,2,9,0.2
2026-02-14,その他,0,1,2,9,0.2
2026-02-15,その他,0,1,2,9,0.2
2026-02-16,その他,0,1,2,9,0.2
2026-02-17,その他,0,1,2,9,0.2
2026-02-18,その他,0,1,2,9,0.2
2026-02-19,その他,0,1,1,9,0.2
2026-02-20,その他,0,1,1,9,0.1
2026-02-21,その他,0,1,1,9,0.1
2026-02-22,その他,0,1,1,9,0.1
2026-02-23,その他,0,1,1,9,0.1
2026-02-24,その他,0,1,1,9,0.1
2026-02-01,全体,1,1,,249,
2026-02-02,全体,13,14,252,249,1.0
2026-02-03,全体,17,31,279,249,1.1
2026-02-04,全体,9,40,240,249,1.0
2026-02-05,全体,12,52,234,249,0.9
2026-02-06,全体,4,56,202,249,0.8
2026-02-07,全体,2,58,209,249,0.8
2026-02-08,全体,1,59,212,249,0.9
2026-02-09,全体,16,75,225,249,0.9
2026-02-10,全体,9,84,216,249,0.9
2026-02-11,全体,2,86,221,249,0.9
2026-02-12,全体,22,108,243,249,1.0
2026-02-13,全体,11,119,238,249,1.0
2026-02-14,全体,1,120,240,249,1.0
2026-02-15,全体,3,123,246,249,1.0
2026-02-16,全体,16,139,250,249,1.0
2026-02-17,全体,12,151,247,249,1.0
2026-02-18,全体,16,167,251,249,1.0
2026-02-19,全体,14,181,251,249,1.0
2026-02-20,全体,14,195,251,249,1.0
2026-02-21,全体,0,195,251,249,1.0
2026-02-22,全体,0,195,251,249,1.0
2026-02-23,全体,1,196,252,249,1.0
2026-02-24,全体,19,215,258,249,1.0
