lead_date,dimension,daily_leads,cumulative_actual,landing_forecast,monthly_target,achievement_pct
2026-02-22,その他,4,77,99,90,1.1
2026-02-23,その他,1,78,100,90,1.1
2026-02-24,その他,4,82,98,90,1.1
2026-02-01,全体,52,52,,2008,
2026-02-02,全体,70,122,2196,2008,1.1
2026-02-03,全体,72,194,1746,2008,0.9
2026-02-04,全体,62,256,1536,2008,0.8
2026-02-05,全体,71,327,1472,2008,0.7
2026-02-06,全体,55,382,1375,2008,0.7
2026-02-07,全体,24,406,1462,2008,0.7
2026-02-08,全体,57,463,1667,2008,0.8
2026-02-09,全体,104,567,1701,2008,0.8
2026-02-10,全体,86,653,1679,2008,0.8
2026-02-11,全体,74,727,1869,2008,0.9
2026-02-12,全体,81,808,1818,2008,0.9
2026-02-13,全体,79,887,1774,2008,0.9
2026-02-14,全体,75,962,1924,2008,1.0
2026-02-15,全体,87,1049,2098,2008,1.0
2026-02-16,全体,95,1144,2059,2008,1.0
2026-02-17,全体,132,1276,2088,2008,1.0
2026-02-18,全体,102,1378,2067,2008,1.0
2026-02-19,全体,182,1560,2160,2008,1.1
2026-02-20,全体,129,1689,2172,2008,1.1
2026-02-21,全体,78,1767,2272,2008,1.1
2026-02-22,全体,51,1818,2337,2008,1.2
2026-02-23,全体,77,1895,2436,2008,1.2
2026-02-24,全体,75,1970,2364,2008,1.2
